time,p_rgh,omega,k
0.310153,6.4247977e-12,3.1724056e-09,1.7681559e-08
0.310178,6.8469707e-12,3.1634261e-09,1.7654608e-08
0.310203,6.7836618e-12,3.1543723e-09,1.7624269e-08
0.310228,7.6752439e-12,3.1450043e-09,1.759193e-08
0.310253,8.0793642e-12,3.1362435e-09,1.756088e-08
0.310278,8.2031596e-12,3.1276193e-09,1.7529504e-08
0.310303,8.3739955e-12,3.117055e-09,1.748302e-08
0.310328,8.6061929e-12,3.1088798e-09,1.74606e-08
0.310353,8.842768e-12,3.1015384e-09,1.7433173e-08
0.310378,9.060802e-12,3.0947712e-09,1.7405556e-08
0.310403,9.2187013e-12,3.087576e-09,1.7374563e-08
0.310428,9.3999681e-12,3.081635e-09,1.7341441e-08
0.310453,9.5200702e-12,3.0787021e-09,1.7312497e-08
0.310477,9.6431081e-12,3.07611e-09,1.7284312e-08
0.310502,9.7579401e-12,3.073615e-09,1.7252741e-08
0.310527,9.900775e-12,3.0717685e-09,1.7227952e-08
0.310552,1.005925e-11,3.0704577e-09,1.7205944e-08
0.310577,1.0315504e-11,3.0698415e-09,1.7188736e-08
0.310602,1.0606097e-11,3.0701483e-09,1.7176943e-08
0.310627,1.0676733e-11,3.0717162e-09,1.7166426e-08
0.310652,1.0770182e-11,3.07464e-09,1.7163627e-08
